1,က,ကလေးငယ် ချစ်စဖွယ်
2,ခ,ခရေကုံး မလေးပြုံး
3,ဂ,ဂဏန်းသင် ပြုံးရွှင်ရွှင်
4,င,ငချိတ်ပေါင်း စားလို့ကောင်း
5,စ,စခန်းသာ တောင်တန်းပြာ
6,ဆ,ဆရာမ ရိုသေကြ
7,ဇ,ဇလပ်ဖြူ သင်းကြူကြူ
8,ည,ညနေခင်း ရေခပ်ဆင်း
9,တ,တမာပင် ရွာအဝင်
10,ထ,ထမင်းပွဲ လက်ဆုံနွှဲ
11,ဒ,ဒရယ်ယုန် သားမျိုးစုံ
12,ဓ,ဓနိတန်း ပင်လယ်ကမ်း
13,န,နှဖူးပြင် နံ့သာတင်
14,ပ, ပလွေမှုတ် ကိုဖိုးတုတ်
15,ဖ, ဖရုံယို အလွန်ချို
16,ဗ, ဗလကြီး ဆင်ပြောင်စီး
17, ဘ, ဘဘိုးအို ဆီးလို့ကြို
18, မ, မမလေး ဝလုံးရေး
19, ယ, ယမင်းခင် ကကြိုးဆင်
20, ရ, ရထားကြီး ပျော်ပျော်စီး
21, လ, လဝါဝါ ထိန်ထိန်သာ
22, ဝ, ဝတုတ်တုတ် ဖိုးဝရုပ်
23, သ, သပြေညို အောင်ပွဲကြို
24, ဟ, ဟ ဟာ ဟ ရယ်လိုက်ရ
25, အ, အမိမြေ တို့တိုင်းပြည် ငါတို့ ချစ်တဲ့မြေ